"time","zeta_TOT[1]","zeta_TOT[2]","zeta_TOT[3]","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0.0051,0.01,0.1,1,1.2,0.714262006953282,0.225869478809539,0.0714262006953282,34.4607,34.4607,34.4607,0.714262006953282,0.22586947880954,0.0714262006953282,34.4607,34.4607,34.4607,34.4607,34.4607,34.4607,34.4607
0.0052,0.01,0.1,1,1.2,0.721230581795901,0.228073135664342,0.0721230581795901,35.1364,35.1364,35.1364,0.721230581795901,0.228073135664342,0.0721230581795901,35.1364,35.1364,35.1364,35.1364,35.1364,35.1364,35.1364
0.0053,0.01,0.1,1,1.2,0.728132467109096,0.230255703438238,0.0728132467109096,35.8121,35.8121,35.8121,0.728132467109096,0.230255703438238,0.0728132467109096,35.8121,35.8121,35.8121,35.8121,35.8121,35.8121,35.8121
0.0054,0.01,0.1,1,1.2,0.73496954168122,0.232417776256271,0.073496954168122,36.4878,36.4878,36.4878,0.73496954168122,0.232417776256271,0.073496954168122,36.4878,36.4878,36.4878,36.4878,36.4878,36.4878,36.4878
0.0055,0.01,0.1,1,1.2,0.741743597707339,0.234559920860284,0.0741743597707339,37.1635,37.1635,37.1635,0.741743597707339,0.234559920860284,0.0741743597707339,37.1635,37.1635,37.1635,37.1635,37.1635,37.1635,37.1635
0.0056,0.01,0.1,1,1.2,0.74845634627582,0.236682678343928,0.074845634627582,37.8392,37.8392,37.8392,0.74845634627582,0.236682678343928,0.074845634627582,37.8392,37.8392,37.8392,37.8392,37.8392,37.8392,37.8392
0.0057,0.01,0.1,1,1.2,0.755109422415901,0.238786565748845,0.0755109422415901,38.5149,38.5149,38.5149,0.755109422415901,0.238786565748845,0.0755109422415901,38.5149,38.5149,38.5149,38.5149,38.5149,38.5149,38.5149
0.0058,0.01,0.1,1,1.2,0.761704389748411,0.240872077535359,0.0761704389748411,39.1906,39.1906,39.1906,0.761704389748411,0.240872077535359,0.0761704389748411,39.1906,39.1906,39.1906,39.1906,39.1906,39.1906,39.1906
0.0059,0.01,0.1,1,1.2,0.768242744777146,0.242939686939521,0.0768242744777146,39.8663,39.8663,39.8663,0.768242744777146,0.242939686939521,0.0768242744777146,39.8663,39.8663,39.8663,39.8663,39.8663,39.8663,39.8663
0.006,0.01,0.1,1,1.2,0.774725920854238,0.244989847227073,0.0774725920854238,40.542,40.542,40.542,0.774725920854238,0.244989847227073,0.0774725920854238,40.542,40.542,40.542,40.542,40.542,40.542,40.542
0.0061,0.01,0.1,1,1.2,0.781155291849304,0.247022992853736,0.0781155291849304,41.2177,41.2177,41.2177,0.781155291849304,0.247022992853736,0.0781155291849304,41.2177,41.2177,41.2177,41.2177,41.2177,41.2177,41.2177
0.0062,0.01,0.1,1,1.2,0.787532175548971,0.249039540540231,0.0787532175548971,41.8934,41.8934,41.8934,0.787532175548971,0.249039540540231,0.0787532175548971,41.8934,41.8934,41.8934,41.8934,41.8934,41.8934,41.8934
0.0063,0.01,0.1,1,1.2,0.793857836810609,0.251039890269578,0.0793857836810609,42.5691,42.5691,42.5691,0.793857836810609,0.251039890269578,0.0793857836810609,42.5691,42.5691,42.5691,42.5691,42.5691,42.5691,42.5691
0.0064,0.01,0.1,1,1.2,0.800133490491645,0.253024426213428,0.0800133490491645,43.2448,43.2448,43.2448,0.800133490491645,0.253024426213428,0.0800133490491645,43.2448,43.2448,43.2448,43.2448,43.2448,43.2448,43.2448
0.0065,0.01,0.1,1,1.2,0.806360304173679,0.2549935175935,0.0806360304173679,43.9205,43.9205,43.9205,0.806360304173679,0.2549935175935,0.0806360304173679,43.9205,43.9205,43.9205,43.9205,43.9205,43.9205,43.9205
0.0066,0.01,0.1,1,1.2,0.812539400698693,0.256947519483608,0.0812539400698693,44.5962,44.5962,44.5962,0.812539400698693,0.256947519483608,0.0812539400698693,44.5962,44.5962,44.5962,44.5962,44.5962,44.5962,44.5962
0.0067,0.01,0.1,1,1.2,0.818671860532971,0.25888677355719,0.0818671860532971,45.2719,45.2719,45.2719,0.818671860532971,0.25888677355719,0.0818671860532971,45.2719,45.2719,45.2719,45.2719,45.2719,45.2719,45.2719
