"time","T","eta","lambda","eta_der","lambda_der","eta2","lambda2","eta2_der","lambda2_der"
0.847794,2573.8232,8.49943238482967e-05,0.13544514086884,7.35479458907431e-05,0.117677669161262,7.52561780624817e-05,0.126476407990875,5.3111941605609e-05,0.0963452514283586
0.847996,2574.3888,8.50091805333666e-05,0.13546891175801,7.35479458907431e-05,0.117677669161262,7.52669062606567e-05,0.126495868895085,5.31078425079204e-05,0.0963369689646189
0.848198,2574.9544,8.50240372184366e-05,0.135492682647181,7.35479458907431e-05,0.117677669161262,7.52776336309369e-05,0.126515328126538,5.31037446270161e-05,0.096328689482041
0.8484,2575.52,8.50388939035065e-05,0.135516453536351,7.35479458907431e-05,0.117677669161262,7.52883601735679e-05,0.126534785685836,5.30996479622676e-05,0.0963204129790365
0.848602,2576.0856,8.50537505885764e-05,0.135540224425522,7.35479458907431e-05,0.117677669161262,7.52990858887955e-05,0.126554241573582,5.30955525130469e-05,0.0963121394540178
0.848804,2576.6512,8.50686072736463e-05,0.135563995314693,7.35479458907431e-05,0.117677669161262,7.5309810776865e-05,0.126573695790376,5.30914582787265e-05,0.0963038689053985
0.849006,2577.2168,8.50834639587163e-05,0.135587766203863,7.35479458907431e-05,0.117677669161262,7.53205348380218e-05,0.12659314833682,5.30873652586791e-05,0.096295601331593
0.849208,2577.7824,8.50983206437862e-05,0.135611537093034,7.35479458907431e-05,0.117677669161262,7.53312580725112e-05,0.126612599213514,5.30832734522781e-05,0.0962873367310164
0.84941,2578.348,8.51131773288561e-05,0.135635307982204,7.35479458907431e-05,0.117677669161262,7.53419804805782e-05,0.126632048421059,5.30791828588974e-05,0.0962790751020854
0.849612,2578.9136,8.51280340139261e-05,0.135659078871375,7.35479458907431e-05,0.117677669161262,7.53527020624678e-05,0.126651495960055,5.30750934779112e-05,0.0962708164432168
0.849814,2579.4792,8.5142890698996e-05,0.135682849760545,7.35479458907431e-05,0.117677669161262,7.53634228184249e-05,0.126670941831102,5.30710053086942e-05,0.0962625607528291
0.850016,2580.0448,8.51577473840659e-05,0.135706620649716,7.35479458907431e-05,0.117677669161262,7.53741427486941e-05,0.126690386034799,5.30669183506217e-05,0.0962543080293411
0.850218,2580.6104,8.51726040691358e-05,0.135730391538887,7.35479458907431e-05,0.117677669161262,7.538486185352e-05,0.126709828571746,5.30628326030692e-05,0.096246058271173
0.85042,2581.176,8.51874607542058e-05,0.135754162428057,7.35479458907431e-05,0.117677669161262,7.53955801331472e-05,0.12672926944254,5.3058748065413e-05,0.0962378114767456
0.850622,2581.7416,8.52023174392757e-05,0.135777933317228,7.35479458907431e-05,0.117677669161262,7.54062975878199e-05,0.126748708647782,5.30546647370294e-05,0.096229567644481
0.850824,2582.3072,8.52171741243457e-05,0.135801704206398,7.35479458907431e-05,0.117677669161262,7.54170142177823e-05,0.126768146188068,5.30505826172957e-05,0.0962213267728018
0.851026,2582.8728,8.52320308094156e-05,0.135825475095569,7.35479458907431e-05,0.117677669161262,7.54277300232786e-05,0.126787582063997,5.30465017055892e-05,0.096213088860132
0.851228,2583.4384,8.52468874944855e-05,0.135849245984739,7.35479458907431e-05,0.117677669161262,7.54384450045527e-05,0.126807016276167,5.30424220012879e-05,0.0962048539048962
0.85143,2584.004,8.52617441795554e-05,0.13587301687391,7.35479458907431e-05,0.117677669161262,7.54491591618484e-05,0.126826448825174,5.30383435037702e-05,0.09619662190552
0.851632,2584.5696,8.52766008646254e-05,0.135896787763081,7.35479458907431e-05,0.117677669161262,7.54598724954094e-05,0.126845879711615,5.30342662124149e-05,0.0961883928604299
0.851834,2585.1352,8.52914575496953e-05,0.135920558652251,7.35479458907431e-05,0.117677669161262,7.54705850054794e-05,0.126865308936088,5.30301901266014e-05,0.0961801667680537
0.852036,2585.7008,8.53063142347652e-05,0.135944329541422,7.35479458907431e-05,0.117677669161262,7.54812966923017e-05,0.126884736499188,5.30261152457095e-05,0.0961719436268198
0.852238,2586.2664,8.53211709198351e-05,0.135968100430592,7.35479458907431e-05,0.117677669161262,7.54920075561197e-05,0.126904162401512,5.30220415691193e-05,0.0961637234351572
0.85244,2586.832,8.53360276049051e-05,0.135991871319763,7.35479458907431e-05,0.117677669161262,7.55027175971767e-05,0.126923586643655,5.30179690962114e-05,0.0961555061914964
0.852642,2587.3976,8.5350884289975e-05,0.136015642208934,7.35479458907431e-05,0.117677669161262,7.55134268157156e-05,0.126943009226212,5.30138978263672e-05,0.0961472918942688
0.852844,2587.9632,8.5365740975045e-05,0.136039413098104,7.35479458907431e-05,0.117677669161262,7.55241352119795e-05,0.126962430149778,5.30098277589681e-05,0.0961390805419063
0.853046,2588.5288,8.53805976601149e-05,0.136063183987275,7.35479458907431e-05,0.117677669161262,7.55348427862112e-05,0.126981849414949,5.30057588933961e-05,0.0961308721328424
0.853248,2589.0944,8.53954543451848e-05,0.136086954876445,7.35479458907431e-05,0.117677669161262,7.55455495386533e-05,0.127001267022318,5.30016912290338e-05,0.0961226666655106
0.85345,2589.66,8.54103110302547e-05,0.136110725765616,7.35479458907431e-05,0.117677669161262,7.55562554695485e-05,0.12702068297248,5.29976247652641e-05,0.0961144641383464
0.853652,2590.2256,8.54251677153247e-05,0.136134496654786,7.35479458907431e-05,0.117677669161262,7.55669605791393e-05,0.127040097266028,5.29935595014704e-05,0.0961062645497852
0.853854,2590.7912,8.54400244003946e-05,0.136158267543957,7.35479458907431e-05,0.117677669161262,7.55776648676679e-05,0.127059509903556,5.29894954370365e-05,0.0960980678982643
0.854056,2591.3568,8.54548810854645e-05,0.136182038433128,7.35479458907431e-05,0.117677669161262,7.55883683353766e-05,0.127078920885656,5.29854325713468e-05,0.0960898741822211
0.854258,2591.9224,8.54697377705345e-05,0.136205809322298,7.35479458907431e-05,0.117677669161262,7.55990709825074e-05,0.127098330212923,5.29813709037859e-05,0.0960816834000944
0.85446,2592.488,8.54845944556044e-05,0.136229580211469,7.35479458907431e-05,0.117677669161262,7.56097728093023e-05,0.127117737885947,5.29773104337392e-05,0.096073495550324
0.854662,2593.0536,8.54994511406743e-05,0.136253351100639,7.35479458907431e-05,0.117677669161262,7.56204738160032e-05,0.127137143905323,5.29732511605922e-05,0.0960653106313502
0.854864,2593.6192,8.55143078257442e-05,0.13627712198981,7.35479458907431e-05,0.117677669161262,7.56311740028518e-05,0.12715654827164,5.2969193083731e-05,0.0960571286416147
