"Time","harmonic.y_arg","potentialSensor.phi[3]","potentialSensor.phi[1]","filter[1].x[1]","harmonic.mean1.x","toPolar.y[1]","toPolar.y[2]","filter[2].x[1]","harmonic.mean2.x","filter[2].x[2]","integrator.y","harmonic.y_rms","potentialSensor.phi[2]","filter[1].x[2]"
0.036499999,0,-1.2247449,1.2247449,0.42285678,0.056694765,1.0608064,-0.0041234675,-0.0099715972,0.013616429,-0.0043741879,0.45867252,0,1.2247449,1.0607973
0.036867443,0,-1.2247449,1.2247449,0.42622045,0.057264753,1.0585234,-0.0041458411,-0.0066943979,0.013899527,-0.0043884576,0.46328995,0,1.2247449,1.0585144
0.036867443,0,-1.2247449,1.2247449,0.42622045,0.057264753,1.0585234,-0.0041458411,-0.0066943979,0.013899527,-0.0043884576,0.46328995,0,-1.2247449,1.0585144
0.037,0,-1.2247449,1.2247449,0.42756045,0.057470061,1.0577049,-0.0041524498,-0.0076330164,0.014002303,-0.0043920539,0.46495572,0,-1.2247449,1.0576959
0.037500001,0,-1.2247449,1.2247449,0.43258497,0.058242925,1.0546427,-0.0041877315,-0.011190765,0.014393042,-0.0044165477,0.47123891,0,-1.2247449,1.0546335
0.037999999,0,-1.2247449,1.2247449,0.43756223,0.059013303,1.0516198,-0.0042395345,-0.014775657,0.014788624,-0.004458365,0.47752208,0,-1.2247449,1.0516104
0.0385,0,-1.2247449,1.2247449,0.44249219,0.059781179,1.0486357,-0.00430803,-0.018387491,0.015189036,-0.0045175403,0.48380527,0,-1.2247449,1.0486261
0.039000001,0,-1.2247449,1.2247449,0.44737476,0.060546514,1.0456902,-0.0043934109,-0.022025917,0.01559426,-0.0045941318,0.49008846,0,-1.2247449,1.04568
0.039500002,0,-1.2247449,1.2247449,0.45220998,0.061309293,1.0427828,-0.0044958261,-0.025690831,0.016004289,-0.004688154,0.49637163,0,-1.2247449,1.0427723
0.039973181,0,-1.2247449,1.2247449,0.45674217,0.062028781,1.0400664,-0.0046085985,-0.029183289,0.016396733,-0.0047932309,0.50231779,0,-1.2247449,1.0400553
0.039973181,0,-1.2247449,-1.2247449,0.45674217,0.062028781,1.0400664,-0.0046085985,-0.029183289,0.016396733,-0.0047932309,0.50231779,0,-1.2247449,1.0400553
0.039999999,0,-1.2247449,-1.2247449,0.45662236,0.061988071,1.0399133,-0.0046154279,-0.029175634,0.016374361,-0.0047996282,0.50265485,0,-1.2247449,1.0399022
0.039999999,0,-1.2247449,-1.2247449,0.45662236,0.061988071,1.0399133,-0.0046154279,-0.029175634,0.016374361,-0.0047996282,0.50265485,0,-1.2247449,1.0399022
0.040000547,0,-1.2247449,-1.2247449,0.45661992,0.061987236,1.0399102,-0.0046155676,-0.029175477,0.016373904,-0.0047997585,0.50266171,0,-1.2247449,1.0398991
0.040000547,0,-1.2247449,1.2247449,0.45661992,0.061987236,1.0399102,-0.0046155676,-0.029175477,0.016373904,-0.0047997585,0.50266171,0,-1.2247449,1.0398991
