"time","booleanTable.y","onDelay1.delaySignal","onDelay1.t_next","onDelay1.u","onDelay2.delaySignal","onDelay2.t_next","onDelay2.u","onDelay3.delaySignal","onDelay3.t_next","onDelay3.u"
1.0054,1,1,2,1,0,-1,0,1,-1,1
1.0076,1,1,2,1,0,-1,0,1,-1,1
1.0098,1,1,2,1,0,-1,0,1,-1,1
1.012,1,1,2,1,0,-1,0,1,-1,1
1.0142,1,1,2,1,0,-1,0,1,-1,1
1.0164,1,1,2,1,0,-1,0,1,-1,1
1.0186,1,1,2,1,0,-1,0,1,-1,1
1.0208,1,1,2,1,0,-1,0,1,-1,1
1.023,1,1,2,1,0,-1,0,1,-1,1
1.0252,1,1,2,1,0,-1,0,1,-1,1
1.0274,1,1,2,1,0,-1,0,1,-1,1
1.0296,1,1,2,1,0,-1,0,1,-1,1
1.0318,1,1,2,1,0,-1,0,1,-1,1
1.034,1,1,2,1,0,-1,0,1,-1,1
1.0362,1,1,2,1,0,-1,0,1,-1,1
1.0384,1,1,2,1,0,-1,0,1,-1,1
1.0406,1,1,2,1,0,-1,0,1,-1,1
1.0428,1,1,2,1,0,-1,0,1,-1,1
1.045,1,1,2,1,0,-1,0,1,-1,1
1.0472,1,1,2,1,0,-1,0,1,-1,1
1.0494,1,1,2,1,0,-1,0,1,-1,1
1.0516,1,1,2,1,0,-1,0,1,-1,1
1.0538,1,1,2,1,0,-1,0,1,-1,1
1.056,1,1,2,1,0,-1,0,1,-1,1
1.0582,1,1,2,1,0,-1,0,1,-1,1
1.0604,1,1,2,1,0,-1,0,1,-1,1
1.0626,1,1,2,1,0,-1,0,1,-1,1
