"time","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valveOpening.y","Valve.port_b.m_flow","Valve.port_b.p","Valve.port_b.h_outflow","Valve.minLimiter.y","downstreamPressure.y"
4.868,-0.56951568016396,100000,84011.8111671368,0.56951568016396,873600,84739.6002361558,-0.56951568016396,879974.402424458,84988.1994640323,1,-0.56951568016396,873600,84988.1994640323,1,873600
4.87,-0.568800084665862,100000,84011.8111671368,0.568800084665862,874000,84739.9764132826,-0.568800084665862,880358.208957978,84988.6797553557,1,-0.568800084665862,874000,84988.6797553557,1,874000
4.872,-0.56808384968113,100000,84011.8111671368,0.56808384968113,874400,84740.3525902691,-0.56808384968113,880742.022504366,84989.1600552922,1,-0.56808384968113,874400,84989.1600552922,1,874400
4.874,-0.567366973502857,100000,84011.8111671368,0.567366973502857,874800,84740.7287671156,-0.567366973502857,881125.843077083,84989.6403638585,1,-0.567366973502857,874800,84989.6403638585,1,874800
4.876,-0.56664945441649,100000,84011.8111671368,0.56664945441649,875200,84741.1049438219,-0.56664945441649,881509.670689668,84990.1206810716,1,-0.56664945441649,875200,84990.1206810716,1,875200
4.878,-0.565931290699794,100000,84011.8111671368,0.565931290699794,875600,84741.4811203881,-0.565931290699794,881893.505355729,84990.6010069485,1,-0.565931290699794,875600,84990.6010069485,1,875600
4.88,-0.565212480622794,100000,84011.8111671368,0.565212480622794,876000,84741.8572968142,-0.565212480622794,882277.347088951,84991.0813415063,1,-0.565212480622794,876000,84991.0813415063,1,876000
4.882,-0.564493022447736,100000,84011.8111671368,0.564493022447736,876400,84742.2334731001,-0.564493022447736,882661.195903093,84991.5616847623,1,-0.564493022447736,876400,84991.5616847623,1,876400
4.884,-0.563772914429019,100000,84011.8111671368,0.563772914429019,876800,84742.6096492459,-0.563772914429019,883045.051811986,84992.0420367337,1,-0.563772914429019,876800,84992.0420367337,1,876800
4.886,-0.563052154813166,100000,84011.8111671368,0.563052154813166,877200,84742.9858252516,-0.563052154813166,883428.91482954,84992.522397438,1,-0.563052154813166,877200,84992.522397438,1,877200
4.888,-0.562330741838769,100000,84011.8111671368,0.562330741838769,877600,84743.3620011171,-0.562330741838769,883812.784969739,84993.0027668926,1,-0.562330741838769,877600,84993.0027668926,1,877600
4.89,-0.561608673736434,100000,84011.8111671368,0.561608673736434,878000,84743.7381768425,-0.561608673736434,884196.662246641,84993.4831451152,1,-0.561608673736434,878000,84993.4831451152,1,878000
4.892,-0.56088594872872,100000,84011.8111671368,0.56088594872872,878400,84744.1143524277,-0.56088594872872,884580.546674385,84993.9635321233,1,-0.56088594872872,878400,84993.9635321233,1,878400
4.894,-0.56016256503012,100000,84011.8111671368,0.56016256503012,878800,84744.4905278729,-0.56016256503012,884964.438267184,84994.4439279347,1,-0.56016256503012,878800,84994.4439279347,1,878800
4.896,-0.559438520846975,100000,84011.8111671368,0.559438520846975,879200,84744.8667031779,-0.559438520846975,885348.337039328,84994.9243325675,1,-0.559438520846975,879200,84994.9243325675,1,879200
4.898,-0.558713814377444,100000,84011.8111671368,0.558713814377444,879600,84745.2428783428,-0.558713814377444,885732.243005186,84995.4047460395,1,-0.558713814377444,879600,84995.4047460395,1,879600
4.9,-0.557988443811442,100000,84011.8111671368,0.557988443811442,880000,84745.6190533675,-0.557988443811442,886116.156179207,84995.8851683687,1,-0.557988443811442,880000,84995.8851683687,1,880000
4.902,-0.557262407330587,100000,84011.8111671368,0.557262407330587,880400,84745.9952282521,-0.557262407330587,886500.076575916,84996.3655995734,1,-0.557262407330587,880400,84996.3655995734,1,880400
4.904,-0.556535703108157,100000,84011.8111671368,0.556535703108157,880800,84746.3714029966,-0.556535703108157,886884.004209918,84996.8460396719,1,-0.556535703108157,880800,84996.8460396719,1,880800
4.906,-0.555808329309025,100000,84011.8111671368,0.555808329309025,881200,84746.747577601,-0.555808329309025,887267.9390959,84997.3264886824,1,-0.555808329309025,881200,84997.3264886824,1,881200
4.908,-0.555080284089605,100000,84011.8111671368,0.555080284089605,881600,84747.1237520652,-0.555080284089605,887651.881248627,84997.8069466235,1,-0.555080284089605,881600,84997.8069466235,1,881600
4.91,-0.554351565597804,100000,84011.8111671368,0.554351565597804,882000,84747.4999263893,-0.554351565597804,888035.830682946,84998.2874135138,1,-0.554351565597804,882000,84998.2874135138,1,882000
4.912,-0.553622171972964,100000,84011.8111671368,0.553622171972964,882400,84747.8761005733,-0.553622171972964,888419.787413783,84998.7678893719,1,-0.553622171972964,882400,84998.7678893719,1,882400
4.914,-0.552892101345806,100000,84011.8111671368,0.552892101345806,882800,84748.2522746171,-0.552892101345806,888803.75145615,84999.2483742165,1,-0.552892101345806,882800,84999.2483742165,1,882800
4.916,-0.552161351838377,100000,84011.8111671368,0.552161351838377,883200,84748.6284485208,-0.552161351838377,889187.722825138,84999.7288680666,1,-0.552161351838377,883200,84999.7288680666,1,883200
4.918,-0.551429921563989,100000,84011.8111671368,0.551429921563989,883600,84749.0046222844,-0.551429921563989,889571.701535921,85000.2093709411,1,-0.551429921563989,883600,85000.2093709411,1,883600
4.92,-0.550697808627164,100000,84011.8111671368,0.550697808627164,884000,84749.3807959079,-0.550697808627164,889955.687603757,85000.6898828592,1,-0.550697808627164,884000,85000.6898828592,1,884000
4.922,-0.54996501112358,100000,84011.8111671368,0.54996501112358,884400,84749.7569693912,-0.54996501112358,890339.681043989,85001.17040384,1,-0.54996501112358,884400,85001.17040384,1,884400
