"time","cDC1.v","cDC2.v","supplyL.inductor[2].i","supplyL.inductor[3].i"
0.033085,111.984806627865,111.984806627865,75.1601777752384,-0.000330663099173702
0.03309,111.966522679691,111.966522679691,75.6668256608676,-0.000324018641072389
0.033095,111.94850154285,111.94850154285,76.1751154758301,-0.0003173733834873
0.0331,111.930743898518,111.930743898518,76.6850189736787,-0.000310727342814916
0.033105,111.913250413265,111.913250413266,77.1965078702068,-0.000304080535453676
0.03311,111.896021739033,111.896021739033,77.7095538441191,-0.000297432977803883
0.033115,111.879058513114,111.879058513114,78.224128537695,-0.000290784686267686
0.03312,111.862361358131,111.862361358131,78.7402035574523,-0.000284135677249076
0.033125,111.845930882016,111.845930882016,79.2577504748174,-0.000277485967153781
0.03313,111.829767729582,111.829767729582,79.7767416625937,-0.000270835572389504
0.033135,111.813872462888,111.813872462888,80.2971483579272,-0.000264184509365314
0.03314,111.798245630904,111.798245630904,80.8189417919034,-0.000257532794491966
0.033145,111.782887785076,111.782887785076,81.3420934426359,-0.000250880444181874
0.03315,111.767799462217,111.767799462217,81.8665747591896,-0.000244227474849016
0.033155,111.752981184494,111.752981184494,82.3923571623251,-0.000237573902908928
0.03316,111.738433459411,111.738433459411,82.919412045249,-0.000230919744778602
0.033165,111.724156779789,111.724156779789,83.4477107743575,-0.000224265016876487
0.03317,111.710151623756,111.710151623757,83.9772246899838,-0.00021760973562243
0.033175,111.696418454725,111.696418454725,84.5079251071416,-0.000210953917437668
0.03318,111.682957721379,111.682957721379,85.0397833162757,-0.000204297578744739
0.033185,111.669769857656,111.669769857656,85.5727705840056,-0.000197640735967462
0.03319,111.656855282731,111.656855282731,86.1068581538703,-0.000190983405530931
0.033195,111.644214401,111.644214401,86.6420172470782,-0.000184325603861415
0.0332,111.631847602066,111.631847602066,87.1782190632507,-0.000177667347386355
0.033205,111.619755260717,111.619755260717,87.7154347811698,-0.000171008652534307
0.03321,111.607937744786,111.607937744786,88.2536355972204,-0.000164349535735093
0.033215,111.596395481223,111.596395481223,88.7927930427463,-0.000157690013421022
0.03322,111.585128734724,111.585128734724,89.3328779244331,-0.00015103010202248
0.033225,111.574137823622,111.574137823622,89.8738613593252,-0.000144369817972171
0.03323,111.563423051554,111.563423051554,90.4157144482849,-0.000137709177703748
0.033235,111.552984707443,111.552984707443,90.9584082767685,-0.000131048197651725
0.03324,111.542823065492,111.542823065492,91.5019139155975,-0.000124386894251457
0.033245,111.532938385169,111.532938385169,92.0462024217282,-0.000117725283939132
0.03325,111.523330911201,111.523330911202,92.5912448390292,-0.000111063383151674
0.033255,111.51400087356,111.51400087356,93.1370121990509,-0.000104401208326739
0.03326,111.504948487451,111.504948487451,93.6834755217994,-9.7738775902659e-05
0.033265,111.496173953302,111.496173953302,94.2306058165061,-9.10761023184338e-05
0.03327,111.487677456757,111.487677456757,94.7783740824052,-8.44132040136392e-05
0.033275,111.479459168659,111.479459168659,95.3267513095033,-7.77500974284135e-05
0.03328,111.471519245041,111.471519245041,95.8757084793504,-7.10867990034441e-05
0.033285,111.463857827119,111.463857827119,96.4252165658163,-6.44233251798727e-05
0.03329,111.456475041275,111.456475041275,96.9752465358609,-5.77596923992915e-05
0.033295,111.449371043659,111.449371043659,97.5257693118207,-5.10959171012315e-05
0.0333,111.442545957411,111.442545957411,98.0767558263316,-4.44320157266083e-05
0.033305,111.435999820683,111.435999820683,98.6281770679385,-3.77680047204901e-05
0.03331,111.429732703694,111.429732703694,99.1800039808689,-3.11039005256518e-05
0.033315,111.423744661985,111.423744661985,99.7322075061239,-2.44397195850873e-05
0.03332,111.418035736414,111.418035736414,100.284758582243,-1.77754783420059e-05
0.033325,111.412605953155,111.412605953155,100.837628146076,-1.11111932397365e-05
0.03333,111.407455323687,111.407455323687,101.390787133548,-4.44688072171433e-06
0.033335,111.402583844793,111.402583844793,101.944206480426,2.21744276853155e-06
0.03334,111.397991498553,111.397991498553,102.49785712309,8.88176078747464e-06
0.033345,111.393678252341,111.393678252341,103.051709999297,1.55460568915944e-05
0.03335,111.389644058816,111.389644058816,103.605736048951,2.22103146374356e-05
0.033355,111.385888855919,111.385888855919,104.159906214869,2.88745175816116e-05
0.03336,111.38241256687,111.38241256687,104.714191443549,3.55386492809008e-05
0.033365,111.379215100158,111.379215100158,105.268562685941,4.22026932922594e-05
0.03337,111.37629634954,111.37629634954,105.822990898206,4.88666331728339e-05
0.033375,111.373656194033,111.373656194033,106.377447042495,5.55304524800579e-05
0.03338,111.371294587451,111.371294587452,106.931901955782,6.21941347710475e-05
0.033385,111.369211334158,111.369211334158,107.486326681028,6.88576636041838e-05
0.03339,111.367406255238,111.367406255238,108.0406922231,7.55210225379849e-05
0.033395,111.365879174328,111.365879174328,108.594969570419,8.21841951313017e-05
0.0334,111.364629900532,111.364629900532,109.149129720886,8.88471649434455e-05
0.033405,111.363658228423,111.363658228423,109.703143682638,9.55099155342011e-05
0.03341,111.362963938042,111.362963938042,110.256982474812,0.000102172430463922
0.033415,111.362546794903,111.362546794903,110.810617128296,0.000108834693293536
0.03342,111.36240654999,111.36240654999,111.364018686497,0.000115496687584601
0.033425,111.362542939764,111.362542939764,111.917158206088,0.000122158396899313
0.03343,111.362955686156,111.362955686156,112.470006757773,0.000128819804800596
0.033435,111.363644496577,111.363644496577,113.022535427045,0.000135480894852112
0.03344,111.364609063914,111.364609063914,113.574715314941,0.000142141650618318
0.033445,111.365849066531,111.365849066531,114.126517538803,0.000148802055664465
0.03345,111.367364168275,111.367364168275,114.677913233032,0.000155462093556702
0.033455,111.369154018469,111.369154018469,115.228873549855,0.000162121747862082
0.03346,111.371218270976,111.371218270976,115.779369660652,0.000168781002148256
0.033465,111.373556625171,111.373556625171,116.329372757977,0.000175439839982881
0.03347,111.376168617443,111.376168617443,116.878854049943,0.000182098244937134
0.033475,111.379053842564,111.379053842564,117.427784767744,0.000188756200582043
0.03348,111.382211881025,111.382211881025,117.976136164189,0.000195413690489713
0.033485,111.385642299041,111.385642299041,118.523879514465,0.000202070698233423
0.03349,111.389344648558,111.389344648558,119.070986116893,0.000208727207387638
0.033495,111.393318467265,111.393318467265,119.617427293686,0.000215383201528025
0.0335,111.397563278597,111.397563278597,120.163174391709,0.000222038664231542
0.033505,111.402078591743,111.402078591743,120.708198783236,0.000228693579076448
0.03351,111.406863901659,111.406863901659,121.252471866711,0.000235347929642361
0.033515,111.411918689068,111.411918689068,121.7959650675,0.000242001699510258
0.03352,111.417242420476,111.417242420476,122.338649838657,0.000248654872262574
0.033525,111.422834548172,111.422834548172,122.880497661678,0.000255307431483213
0.03353,111.42869451024,111.42869451024,123.421480047259,0.000261959360757562
0.033535,111.434821730567,111.434821730567,123.961568536057,0.000268610643672587
0.03354,111.441215618849,111.441215618849,124.500734699445,0.000275261263816836
0.033545,111.447875628148,111.447875628148,125.038950126331,0.000281911204782203
0.03355,111.454801149448,111.454801149448,125.576186449461,0.00028856045016081
0.033555,111.461991512128,111.461991512129,126.11241534607,0.000295208983545107
0.03356,111.469446072724,111.469446072724,126.647608517135,0.000301856788530515
0.033565,111.477164173844,111.477164173844,127.181737698085,0.000308503848714266
0.03357,111.485145144188,111.485145144188,127.714774659562,0.000315150147695403
0.033575,111.493388298559,111.493388298559,128.246691208174,0.000321795669074879
0.03358,111.501892937877,111.501892937877,128.777459187258,0.00032844039645557
0.033585,111.510658349197,111.510658349197,129.307050477627,0.000335084313442286
0.03359,111.519683805716,111.519683805716,129.835436998337,0.000341727403641869
0.033595,111.528968566795,111.528968566795,130.362590707436,0.000348369650663195
0.0336,111.538511877967,111.538511877967,130.888483602728,0.000355011038117234
0.033605,111.548312970954,111.548312970954,131.413087722521,0.000361651549617056
0.03361,111.55837106368,111.55837106368,131.936375146391,0.000368291168777921
0.033615,111.568685360286,111.568685360286,132.458317995939,0.000374929879217299
0.03362,111.579255051142,111.579255051142,132.978888435541,0.000381567664554876
0.033625,111.590079312865,111.590079312865,133.49805867311,0.000388204508412659
0.03363,111.601157403671,111.601157403671,134.015800737113,0.000394840394412821
0.033635,111.612488410938,111.612488410938,134.532087069759,0.000401475306183457
0.03364,111.624071465791,111.624071465791,135.046890024227,0.000408109227353748
0.033645,111.635905693403,111.635905693403,135.56018198207,0.000414742141555179
0.03365,111.647990205483,111.647990205483,136.07193537165,0.000421374032421711
0.033655,111.660324100294,111.660324100294,136.582122668873,0.000428004883589842
0.03366,111.672906462675,111.672906462675,137.090716397937,0.00043463467869861
0.033665,111.685736364057,111.685736364057,137.597689132073,0.000441263401389689
0.03367,111.698812862487,111.698812862487,138.10301349429,0.000447891035307398
0.033675,111.712135002647,111.712135002647,138.606662158113,0.000454517564098722
0.03368,111.725701815875,111.725701815875,139.108607848328,0.000461142971413399
0.033685,111.739512320182,111.739512320182,139.608823341726,0.00046776724090393
0.03369,111.753565520276,111.753565520276,140.107281467845,0.000474390356225634
0.033695,111.767860407579,111.767860407579,140.603955109708,0.000481012301036655
0.0337,111.78239596025,111.78239596025,141.098817204573,0.000487633058998055
0.033705,111.797171143203,111.797171143203,141.591840744671,0.000494252613773827
0.03371,111.812184934226,111.812184934226,142.082998671829,0.000500870949030242
0.033715,111.827436327069,111.827436327069,142.572263865754,0.000507488048435867
0.03372,111.842924191753,111.842924191753,143.059609712823,0.000514103895665139
0.033725,111.858647443586,111.858647443586,143.545009419704,0.000520718474394103
0.03373,111.874604984937,111.874604984937,144.028436250909,0.000527331768301907
0.033735,111.890795705266,111.890795705266,144.509863529519,0.000533943761070896
0.03374,111.907218481146,111.907218481146,144.989264637897,0.000540554436386622
0.033745,111.923872176293,111.923872176293,145.466613018411,0.000547163777937864
0.03375,111.940755641587,111.940755641587,145.94188217415,0.000553771769416716
0.033755,111.957867715103,111.957867715103,146.415045669647,0.000560378394518594
0.03376,111.975207222133,111.975207222133,146.886077131593,0.000566983636942297
0.033765,111.992772975216,111.992772975216,147.35495024956,0.000573587480390006
0.03377,112.010563774158,112.010563774158,147.821638776717,0.000580189908567383
0.033775,112.028578406065,112.028578406065,148.286116530551,0.00058679090518357
0.03378,112.046815645362,112.046815645363,148.748357393586,0.000593390453951256
0.033785,112.065274253827,112.065274253827,149.2083353141,0.000599988538586671
0.03379,112.083952980607,112.083952980607,149.666024306845,0.000606585142809689
0.033795,112.102850622839,112.102850622839,150.121398179032,0.000613180250344497
0.0338,112.12196589637,112.12196589637,150.574431117377,0.000619773844918202
0.033805,112.14129748655,112.14129748655,151.02509745863,0.000626365910261474
0.03381,112.160844095428,112.160844095428,151.473371476372,0.000632956430109069
0.033815,112.180604412761,112.180604412761,151.919227513335,0.00063954538819957
0.03382,112.200577116044,112.200577116044,152.362639982098,0.000646132768275389
0.033825,112.220760870541,112.220760870541,152.803583365777,0.000652718554082865
0.03383,112.241154329317,112.241154329317,153.242032218721,0.000659302729372276
