"time","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0.0475,-236.747573111456,162.789095104262
0.04755,-235.912794643248,165.586688498694
0.0476,-235.019808218136,168.343425852557
0.04765,-234.068834269326,171.058627046448
0.0477,-233.060107340637,173.731622084037
0.04775,-231.993876208991,176.361751373082
0.0478,-230.870404115579,178.948366076586
0.04785,-229.689968314372,181.490828022741
0.0479,-228.452859785021,183.988509707893
0.04795,-227.159383954847,186.440794998474
0.048,-225.809860076436,188.847078907816
0.04805,-224.404620883777,191.206767543783
0.0481,-222.944013171443,193.519278743228
0.04815,-221.428397441965,195.784042020003
0.0482,-219.858147604753,198.000498540982
0.04825,-218.233650935805,200.1681013036
0.0483,-216.555308423314,202.286315618862
0.04835,-214.823534253415,204.354618915766
0.0484,-213.038755424679,206.372500627685
0.04845,-211.201412486788,208.339463026896
0.0485,-209.311958871158,210.255020878541
0.04855,-207.370860601227,212.118701394554
0.0486,-205.37859661214,213.930044738991
0.04865,-203.335658594219,215.688604108393
0.0487,-201.242550606577,217.393945599043
0.04875,-199.099788900372,219.045648261723
0.0488,-196.907902333847,220.643304721351
0.04885,-194.66743181972,222.186520877802
0.0489,-192.378929869952,223.674915672382
0.04895,-190.042961306915,225.108122037725
0.049,-187.660102576944,226.48578643776
0.04905,-185.230941505198,227.807568836537
0.0491,-182.756077391762,229.073143041547
0.04915,-180.236121002766,230.282196934456
0.0492,-177.671694125547,231.434432228139
0.04925,-175.063429287218,232.529564390134
0.0493,-172.411970190774,233.567323389429
0.04935,-169.717971133585,234.547453282462
0.0494,-166.982096591637,235.469711959834
0.04945,-164.205021703719,236.333871994208
0.0495,-161.387431754074,237.139720271825
0.04955,-158.530021881701,237.887057884576
0.0496,-155.633497012901,238.575700313468
0.04965,-152.698571945754,239.205477810122
0.0497,-149.725970875194,239.776235049397
0.04975,-146.716427041709,240.287830922897
0.0498,-143.670683140348,240.740139391363
0.04985,-140.589490734959,241.13304896045
0.0499,-137.473609911964,241.466462460384
0.04995,-134.323809500956,241.74029767622
0.05,-131.140866751856,241.954487172307
0.05005,-127.925566986893,242.108978066018
0.0501,-124.678703418721,242.203732057278
0.05015,-121.40107727237,242.238725945984
0.0502,-118.093497308331,242.213951192151
0.05025,-114.756779437065,242.129413589399
0.0503,-111.391747056095,241.985134192024
0.05035,-107.999230491553,241.781148700007
0.0504,-104.580066705765,241.517507274236
0.05045,-101.135099312629,241.194274940375
0.0505,-97.6651783826859,240.811531599468
0.05055,-94.1711600704734,240.369371693866
0.0506,-90.6539063601722,239.867904090357
0.05065,-87.1142851713135,239.307252706359
0.0507,-83.5531699062597,238.687555994326
0.05075,-79.9714390649923,238.008966512125
0.0508,-76.3699764715063,237.271651887407
0.05085,-72.7496707707535,236.475794135529
0.0509,-69.1114151739872,235.621589508263
0.05095,-65.4561073301248,234.709248678274
0.051,-61.7846491929527,233.738996913131
0.05105,-58.0979466550826,232.711073650068
0.0511,-54.3969092623107,231.625732249025
0.05115,-50.6824502548071,230.483240691402
0.0512,-46.9554861537896,229.283880980409
0.05125,-43.2169364511459,228.027948772682
0.0513,-39.4677236084261,226.715754054758
0.05135,-35.7087727186026,225.347620704413
0.0514,-31.9410112309312,223.923886224908
0.05145,-28.1653687474285,222.444901758684
0.0515,-24.3827768911756,220.911032389783
0.05155,-20.5941689751219,219.322656648576
0.0516,-16.8004797234866,217.680166157794
0.05165,-13.0026452081739,215.98396636196
0.0517,-9.20160250359751,214.234475871642
0.05175,-5.39828943093412,212.432126152508
0.0518,-1.59364440340528,210.577361931386
0.05185,2.211393824143,208.670640969062
0.0519,6.01588641685986,206.712433701108
0.05195,9.81889469102369,204.703223105378
0.052,13.6194802976859,202.643505089455
0.05205,17.4167054949701,200.533787949305
0.0521,21.2096333858447,198.374591936087
0.05215,24.99732811685,196.166449972041
0.0522,28.7788551320449,193.909906968514
0.05225,32.5532813931688,191.605519563703
0.0523,36.3196756170882,189.253856291206
0.05235,40.0771085084107,186.855497518246
0.0524,43.8246529775293,184.411035019234
0.05245,47.5613843570783,181.921071727622
0.0525,51.2863806801631,179.386222160444
0.05255,54.9987228736006,176.807111848624
0.0526,58.6974949326881,174.184376892371
0.05265,62.3817842628649,171.518664545321
0.0527,66.0506818375591,168.810632610815
0.05275,69.7032823933981,166.060949179698
0.0528,73.338684687383,163.270292611287
0.05285,76.955991770582,160.439351583767
0.0529,80.5543111381297,157.568824628694
