"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","downstreamPressure.y"
0.114332,-0.189510376044537,1000000,3264385.32408016,-0.189510376044537,702593.789820919,3264385.32408016,1,0.189510376044537,702593.789820919,3269101.52600148,1,702593.789820919
0.114534,-0.18961019364911,1000000,3264385.32408016,-0.18961019364911,701972.608271249,3264385.32408016,1,0.18961019364911,701972.608271249,3269111.33548822,1,701972.608271249
0.114736,-0.189709627309822,1000000,3264385.32408016,-0.189709627309822,701351.262456236,3264385.32408016,1,0.189709627309822,701351.262456236,3269121.14739946,1,701351.262456236
0.114938,-0.189808677503929,1000000,3264385.32408016,-0.189808677503929,700729.753376791,3264385.32408016,1,0.189808677503929,700729.753376791,3269130.96171926,1,700729.753376791
0.11514,-0.189907344708053,1000000,3264385.32408016,-0.189907344708053,700108.08203409,3264385.32408016,1,0.189907344708053,700108.08203409,3269140.7784317,1,700108.08203409
0.115342,-0.190005629398189,1000000,3264385.32408016,-0.190005629398189,699486.249429569,3264385.32408016,1,0.190005629398189,699486.249429569,3269150.59752085,1,699486.249429569
0.115544,-0.190103532049713,1000000,3264385.32408016,-0.190103532049713,698864.256564923,3264385.32408016,1,0.190103532049713,698864.256564923,3269160.41897075,1,698864.256564923
0.115746,-0.190201053137394,1000000,3264385.32408016,-0.190201053137394,698242.104442106,3264385.32408016,1,0.190201053137394,698242.104442106,3269170.24276548,1,698242.104442106
0.115948,-0.190298193135399,1000000,3264385.32408016,-0.190298193135399,697619.79406333,3264385.32408016,1,0.190298193135399,697619.79406333,3269180.06888909,1,697619.79406333
0.11615,-0.190394952517306,1000000,3264385.32408016,-0.190394952517306,696997.32643106,3264385.32408016,1,0.190394952517306,696997.32643106,3269189.89732563,1,696997.32643106
0.116352,-0.190491331756109,1000000,3264385.32408016,-0.190491331756109,696374.702548014,3264385.32408016,1,0.190491331756109,696374.702548014,3269199.72805915,1,696374.702548014
0.116554,-0.190587331324228,1000000,3264385.32408016,-0.190587331324228,695751.923417163,3264385.32408016,1,0.190587331324228,695751.923417163,3269209.5610737,1,695751.923417163
0.116756,-0.190682951693518,1000000,3264385.32408016,-0.190682951693518,695128.990041729,3264385.32408016,1,0.190682951693518,695128.990041729,3269219.39635333,1,695128.990041729
0.116958,-0.190778193335274,1000000,3264385.32408016,-0.190778193335274,694505.903425179,3264385.32408016,1,0.190778193335274,694505.903425179,3269229.23388207,1,694505.903425179
0.11716,-0.190873056720246,1000000,3264385.32408016,-0.190873056720246,693882.66457123,3264385.32408016,1,0.190873056720246,693882.66457123,3269239.07364396,1,693882.66457123
0.117362,-0.190967542318639,1000000,3264385.32408016,-0.190967542318639,693259.274483843,3264385.32408016,1,0.190967542318639,693259.274483843,3269248.91562305,1,693259.274483843
0.117564,-0.19106165060013,1000000,3264385.32408016,-0.19106165060013,692635.734167224,3264385.32408016,1,0.19106165060013,692635.734167224,3269258.75980335,1,692635.734167224
0.117766,-0.191155382033866,1000000,3264385.32408016,-0.191155382033866,692012.044625819,3264385.32408016,1,0.191155382033866,692012.044625819,3269268.60616892,1,692012.044625819
0.117968,-0.191248737088481,1000000,3264385.32408016,-0.191248737088481,691388.206864314,3264385.32408016,1,0.191248737088481,691388.206864314,3269278.45470376,1,691388.206864314
0.11817,-0.1913417162321,1000000,3264385.32408016,-0.1913417162321,690764.221887636,3264385.32408016,1,0.1913417162321,690764.221887636,3269288.30539191,1,690764.221887636
0.118372,-0.191434319932346,1000000,3264385.32408016,-0.191434319932346,690140.090700949,3264385.32408016,1,0.191434319932346,690140.090700949,3269298.15821739,1,690140.090700949
0.118574,-0.191526548656348,1000000,3264385.32408016,-0.191526548656348,689515.814309651,3264385.32408016,1,0.191526548656348,689515.814309651,3269308.01316422,1,689515.814309651
0.118776,-0.191618402870753,1000000,3264385.32408016,-0.191618402870753,688891.393719374,3264385.32408016,1,0.191618402870753,688891.393719374,3269317.87021641,1,688891.393719374
0.118978,-0.191709883041726,1000000,3264385.32408016,-0.191709883041726,688266.829935983,3264385.32408016,1,0.191709883041726,688266.829935983,3269327.72935799,1,688266.829935983
0.11918,-0.191800989634966,1000000,3264385.32408016,-0.191800989634966,687642.123965575,3264385.32408016,1,0.191800989634966,687642.123965575,3269337.59057295,1,687642.123965575
0.119382,-0.191891723115705,1000000,3264385.32408016,-0.191891723115705,687017.276814472,3264385.32408016,1,0.191891723115705,687017.276814472,3269347.45384532,1,687017.276814472
