"time","loadInertia.phi","loadInertia.w","smr.idq_rr[1]","smr.idq_rr[2]","smr.idq_sr[1]","smr.idq_sr[2]","vfController.x"
0.54875,20.2083632419084,84.7497254152553,-17.6527366628576,25.9298128864876,-19.8937319531739,-104.415158992804,47.3008498275439
0.5488,20.2126009332406,84.757927782864,-17.6528383171496,25.9201041900971,-19.88980386582,-104.423009959133,47.3094699650863
0.54885,20.2168390346842,84.7661298699605,-17.6529355544967,25.910404079281,-19.8858802500136,-104.430863213066,47.3180908880268
0.5489,20.2210775462251,84.7743316765546,-17.6530283960528,25.9007125189608,-19.8819610851888,-104.43871872356,47.3267125963655
0.54895,20.2253164678492,84.7825332026543,-17.6531168630281,25.8910294743092,-19.8780463507179,-104.446576459811,47.3353350901024
0.549,20.2295557995425,84.7907344482663,-17.6532009766882,25.8813549107493,-19.8741360259118,-104.454436391256,47.3439583692374
0.54905,20.2337955412911,84.7989354133952,-17.6532807583527,25.8716887939546,-19.8702300900219,-104.462298487573,47.3525824337706
0.5491,20.2380356930808,84.8071360980443,-17.6533562293941,25.8620310898485,-19.8663285222408,-104.470162718681,47.361207283702
0.54915,20.2422762548976,84.8153365022151,-17.6534274112362,25.8523817646043,-19.862431301704,-104.478029054736,47.3698329190315
0.5492,20.2465172267274,84.8235366259078,-17.6534943253533,25.8427407846443,-19.8585384074906,-104.485897466136,47.3784593397591
0.54925,20.2507586085563,84.8317364691208,-17.6535569932689,25.83310811664,-19.8546498186251,-104.49376792352,47.387086545885
0.5493,20.2550004003701,84.8399360318513,-17.6536154365541,25.8234837275114,-19.8507655140783,-104.501640397764,47.395714537409
0.54935,20.2592426021556,84.8481353140451,-17.6536696779651,25.8138675811372,-19.8468854717404,-104.509514856374,47.4043433143312
0.5494,20.2634852138986,84.856334315705,-17.6537197389686,25.8042596455022,-19.8430096706562,-104.517391271327,47.4129728766515
0.54945,20.2677282355847,84.8645330368475,-17.6537656407291,25.7946598898395,-19.8391380901332,-104.525269615943,47.42160322437
0.5495,20.2719716671998,84.8727314774623,-17.6538074050358,25.7850682819478,-19.8352707089047,-104.533149861931,47.4302343574866
0.54955,20.2762155087299,84.8809296375377,-17.653845053722,25.7754847898669,-19.8314075056547,-104.541031981232,47.4388662760014
0.5496,20.2804597601611,84.8891275170605,-17.6538786086632,25.7659093818772,-19.8275484590189,-104.548915946022,47.4474989799144
0.54965,20.2847044214792,84.8973251160163,-17.6539080917765,25.7563420264992,-19.8236935475862,-104.556801728705,47.4561324692256
0.5497,20.2889494926702,84.9055224343893,-17.6539335250193,25.7467826924929,-19.8198427498994,-104.564689301919,47.4647667439349
0.54975,20.2931949737201,84.9137194721623,-17.6539549303879,25.7372313488577,-19.815996044457,-104.57257863853,47.4734018040424
0.5498,20.2974408646149,84.9219162293168,-17.6539723299163,25.7276879648315,-19.8121534097139,-104.580469711638,47.482037649548
0.54985,20.3016871653404,84.9301127058333,-17.6539857456754,25.7181525098904,-19.808314824083,-104.588362494571,47.4906742804518
0.5499,20.3059338758828,84.9383089016907,-17.6539951997714,25.7086249537484,-19.8044802659358,-104.596256960887,47.4993116967538
0.54995,20.3101809962279,84.9465048168671,-17.654000714345,25.6991052663568,-19.8006497136042,-104.604153084375,47.5079498984539
0.55,20.3144285263616,84.9547004513391,-17.6540023115698,25.6895934179036,-19.7968231453813,-104.612050839052,47.5165888855522
0.55005,20.31867646627,84.9628958050822,-17.6540000136514,25.6800893788132,-19.7930005395229,-104.619950199166,47.5252286580486
0.5501,20.322924815939,84.971090878071,-17.653993842826,25.6705931197458,-19.7891818742482,-104.62785113919,47.5338692159433
0.55015,20.3271735753545,84.9792856702789,-17.6539838213595,25.6611046115972,-19.7853671277417,-104.635753633829,47.542510559236
0.5502,20.3314227445025,84.9874801816781,-17.6539699715463,25.6516238254979,-19.7815562781535,-104.643657658014,47.551152687927
0.55025,20.3356723233689,84.9956744122399,-17.6539523157075,25.6421507328132,-19.7777493036013,-104.651563186906,47.5597956020161
0.5503,20.3399223119397,85.0038683619347,-17.6539308761908,25.632685305142,-19.7739461821712,-104.659470195891,47.5684393015034
0.55035,20.3441727102008,85.0120620307216,-17.6539056756435,25.6232275137907,-19.7701468916618,-104.667378659993,47.5770837863888
0.5504,20.3484235181392,85.0202554184985,-17.6538767383785,25.6137773271594,-19.7663514083094,-104.675288550949,47.5857290566724
0.55045,20.35267473574,85.0284485252952,-17.6538440851174,25.6043347207908,-19.762559711697,-104.683199848459,47.5943751123542
0.5505,20.3569263629891,85.0366413510764,-17.6538077383493,25.5948996671206,-19.75877177975,-104.69111252871,47.6030219534341
0.55055,20.3611783998724,85.0448338958061,-17.6537677205858,25.5854721388111,-19.7549875903659,-104.699026568111,47.6116695799122
0.5506,20.365430846376,85.053026159447,-17.6537240543603,25.5760521087508,-19.7512071214152,-104.706941943289,47.6203179917884
0.55065,20.3696837024857,85.061218141961,-17.6536767622267,25.5666395500533,-19.7474303507423,-104.714858631091,47.6289671890628
0.5507,20.3739369681875,85.0694098433093,-17.6536258667582,25.5572344360572,-19.7436572561673,-104.722776608583,47.6376171717354
0.55075,20.3781906434674,85.0776012634521,-17.6535713905463,25.5478367403253,-19.7398878154863,-104.730695853047,47.6462679398062
0.5508,20.3824447283112,85.0857924023487,-17.6535133561994,25.5384464366442,-19.7361220064734,-104.738616341987,47.6549194932751
0.55085,20.3866992227049,85.0939832599577,-17.6534517863421,25.5290634990233,-19.732359806881,-104.746538053122,47.6635718321421
0.5509,20.3909541266344,85.102173836237,-17.6533867036139,25.5196879016946,-19.7286011944415,-104.754460964388,47.6722249564074
0.55095,20.3952094400856,85.1103641311436,-17.6533181306677,25.510319619112,-19.7248461468683,-104.762385053938,47.6808788660707
0.551,20.3994651630445,85.1185541446338,-17.6532460901696,25.5009586259508,-19.7210946418567,-104.770310300142,47.6895335611323
0.55105,20.403721295497,85.1267438766634,-17.6531706047965,25.4916048971068,-19.7173466570852,-104.778236681585,47.698189041592
